job_id,cf_score,title,category,city,region,salary_range,contract_type,company,score_total,methode
6007,1.0,2009,76,0,,2200,"TechnoSoft Morocco recherche un(e) Export Manager pour rejoindre son équipe à Marrakech.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Export Manager
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",DAMA,0.0,SVD
6010,1.0,2008,76,0,,2201,"Moroccan Innovations recherche un(e) Médecin Généraliste pour rejoindre son équipe à Agadir.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Médecin Généraliste
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Santé & Médical.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",,0.0,SVD
6012,1.0,2005,76,0,,2203,"Royal Business recherche un(e) Responsable Marketing pour rejoindre son équipe à Tanger.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Responsable Marketing
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Marketing & Communication.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Dakhla Wind & Aquaculture,0.0,SVD
6015,1.0,2009,76,0,,2201,"Sahara Tech recherche un(e) Directeur Commercial pour rejoindre son équipe à Marrakech.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Directeur Commercial
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Nador Commerce International,0.0,SVD
6016,1.0,2002,76,0,,2201,"Oriental Industries recherche un(e) Vendeur Comptoir pour rejoindre son équipe à Marrakech.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Vendeur Comptoir
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Nord Textile Industries,0.0,SVD
6033,1.0,2011,76,0,,2201,"Tangier Logistics recherche un(e) Coordinateur Transport pour rejoindre son équipe à Marrakech.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Coordinateur Transport
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Logistique & Transport.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Atlas Excursions & Events,0.0,SVD
6040,1.0,2004,76,0,,2201,"Atlantic Solutions recherche un(e) Gestionnaire RH pour rejoindre son équipe à Casablanca.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Gestionnaire RH
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Ressources Humaines.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",ChimiPhos Industries,0.0,SVD
6041,1.0,2005,76,0,,2201,"Atlantic Solutions recherche un(e) Traffic Manager pour rejoindre son équipe à Marrakech.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Traffic Manager
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Marketing & Communication.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",DAMA,0.0,SVD
6047,1.0,2015,76,0,,2202,"Atlas Services recherche un(e) Juriste d'Entreprise pour rejoindre son équipe à Agadir.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Juriste d'Entreprise
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Juridique & Conseil.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",,0.0,SVD
6050,1.0,2002,76,0,,2201,"Moroccan Innovations recherche un(e) Attaché Commercial pour rejoindre son équipe à Tanger.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Attaché Commercial
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Khénifra BTP & Travaux,0.0,SVD
